,Country,Deaths,Death rate*,Total Cases,New Cases  0  10  100  1k  10k  **,Unnamed: 5
159,Gabon,305,14.0,47939,,
160,Liberia,294,6.0,7497,,
161,Curaçao,278,176.5,44545,,
162,Togo,275,3.4,37482,,
163,Nicaragua,242,3.7,14690,,
164,Grenada,232,207.1,18376,,
165,Brunei,225,51.9,167669,,
166,Aruba,222,208.8,41000,,
167,Chad,193,1.2,7426,,
168,Djibouti,189,19.4,15690,,
169,Mayotte,187,70.3,37958,,
170,Equatorial Guinea,183,13.5,16114,,
171,Iceland,179,49.5,195259,,
172,Channel Islands,179,103.9,80990,,
173,Guinea-Bissau,171,8.9,8369,,
174,Seychelles,167,171.1,44847,,
175,Benin,163,1.4,27216,,
176,Comoros,160,18.8,8161,,
177,Andorra,153,198.3,44177,,
178,Solomon Islands,153,22.8,21544,,
179,Antigua and Barbuda,141,145.2,8665,,
180,Bermuda,140,219.0,16162,,
181,South Sudan,138,1.2,17722,,
182,Timor-Leste,133,10.3,22959,,
183,Tajikistan,125,1.3,17786,,
184,Sierra Leone,125,1.6,7704,,
185,San Marino,115,339.6,18236,,
186,St Vincent and the Grenadines,114,103.1,9058,,
187,Central African Republic,113,2.4,14649,,
188,Isle of Man,108,127.7,36463,,
189,Gibraltar,104,308.6,19633,,
190,Eritrea,103,2.9,9805,,
191,Sint Maarten,87,213.6,10601,,
192,Liechtenstein,85,223.6,17935,,
193,Sao Tome and Principe,74,34.4,6064,,
194,Dominica,68,94.7,14852,,
195,Saint Martin,63,165.8,10952,,
196,British Virgin Islands,63,209.8,6941,,
197,Monaco,59,151.4,13100,,
198,Saint Kitts and Nevis,43,81.4,6157,,
199,Burundi,38,0.3,42731,,
200,"Bonaire, Sint Eustatius and Saba",37,142.4,10405,,
201,Turks and Caicos Islands,36,94.3,6219,,
202,Cayman Islands,29,44.7,27594,,
203,Samoa,29,14.7,14995,,
204,Faroe Islands,28,57.5,34658,,
205,Bhutan,21,2.8,59824,,
206,Greenland,21,37.3,11971,,
207,Vanuatu,14,4.7,11389,,
208,Kiribati,13,11.1,3236,,
209,Diamond Princess cruise ship,13,,712,,
210,Tonga,12,11.5,12301,,
211,Anguilla,9,60.5,3476,,
212,Montserrat,8,160.3,1020,,
213,Wallis and Futuna Islands,7,61.2,454,,
214,Palau,6,33.3,5237,,
215,Saint Barthelemy,6,60.9,4697,,
216,MS Zaandam cruise ship,2,,9,,
217,Cook Islands,1,5.7,5774,,
218,Saint Pierre and Miquelon,1,17.2,2779,,
219,Falkland Islands,0,0.0,1815,,
220,Micronesia,0,0.0,38,,
221,Vatican,0,0.0,29,,
222,Marshall Islands,0,0.0,18,,
223,Antarctica,0,,11,,
224,Saint Helena,0,0.0,4,,
